380,0.059200,0.100587,0.112425,0.056675,0.126012,0.116812,0.052900,0.103600,0.087288,0.086950,0.059525,0.054700,0.056863,0.055787,0.050575,0.051375,0.122675,0.100087,0.144788,0.134750,0.122162,0.096338,0.066462,0.030550
381,0.059740,0.103559,0.116065,0.057125,0.130003,0.120431,0.053196,0.107039,0.089731,0.089915,0.060046,0.055356,0.057137,0.056097,0.050713,0.051452,0.126367,0.102950,0.147617,0.138255,0.126402,0.099169,0.067624,0.030711
382,0.060263,0.106587,0.120088,0.057562,0.134566,0.124400,0.053484,0.110739,0.092149,0.092990,0.060552,0.055995,0.057496,0.056399,0.050841,0.051526,0.130574,0.106067,0.151709,0.142709,0.131018,0.102044,0.068765,0.030867
383,0.060766,0.109670,0.124470,0.057986,0.139661,0.128699,0.053761,0.114687,0.094542,0.096169,0.061040,0.056616,0.057933,0.056692,0.050956,0.051597,0.135259,0.109423,0.156943,0.148030,0.135990,0.104959,0.069885,0.031019
384,0.061246,0.112807,0.129188,0.058395,0.145249,0.133305,0.054026,0.118868,0.096908,0.099450,0.061511,0.057217,0.058441,0.056976,0.051059,0.051663,0.140386,0.113004,0.163198,0.154137,0.141296,0.107915,0.070982,0.031165
385,0.061701,0.115996,0.134218,0.058788,0.151288,0.138199,0.054279,0.123269,0.099249,0.102829,0.061960,0.057798,0.059011,0.057250,0.051148,0.051722,0.145919,0.116796,0.170354,0.160948,0.146913,0.110911,0.072056,0.031305
386,0.062128,0.119236,0.139535,0.059164,0.157738,0.143359,0.054518,0.127876,0.101562,0.106301,0.062389,0.058357,0.059637,0.057514,0.051223,0.051773,0.151823,0.120782,0.178291,0.168382,0.152821,0.113946,0.073106,0.031438
387,0.062524,0.122527,0.145116,0.059521,0.164559,0.148764,0.054742,0.132674,0.103848,0.109863,0.062793,0.058893,0.060310,0.057766,0.051283,0.051816,0.158062,0.124949,0.186887,0.176356,0.158996,0.117020,0.074131,0.031565
388,0.062886,0.125867,0.150936,0.059860,0.171709,0.154393,0.054950,0.137649,0.106106,0.113511,0.063173,0.059405,0.061023,0.058007,0.051327,0.051848,0.164599,0.129282,0.196022,0.184791,0.165418,0.120131,0.075131,0.031684
389,0.063213,0.129254,0.156972,0.060178,0.179149,0.160224,0.055140,0.142787,0.108336,0.117241,0.063526,0.059891,0.061768,0.058235,0.051353,0.051868,0.171399,0.133767,0.205575,0.193603,0.172064,0.123279,0.076104,0.031796
